node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,500,8500,GPU,10,0.0005708753708
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,CPU,10,0.001191430858
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1000,16000,GPU,10,0.0006220286091
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,CPU,10,0.001251657236
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1000,17000,GPU,10,0.0005967533305
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,1,0.001840943808
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,1,0.0006439059973
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,1,0.001815276061
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,1,0.0008012450167
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,2,0.001695432833
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,2,0.005306749684
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,2,0.002285450697
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,2,0.0009019870843
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,3,0.002010726077
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,3,0.0005803978514
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,3,0.00174907971
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,GPU,3,0.0006934891854
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,CPU,4,0.001884977732
WarsawIQ_local,AMD Radeon 890M,linear-chain,16,1200,19200,GPU,4,0.0006118543091
WarsawIQ_local,AMD Radeon 890M,branching-4x4,17,1200,20400,CPU,4,0.002013690557
