node,gpu,topology,ncomp_per_neuron,n_neurons,total_comps,mode,rep,t_per_step_s
inf02_A40,NVIDIA A40,branching-4x4,17,15000,255000,GPU,3,0.002469125119
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,CPU,3,0.06534996466
inf02_A40,NVIDIA A40,linear-chain,16,20000,320000,GPU,3,0.002615862543
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,CPU,3,0.06812679551
inf02_A40,NVIDIA A40,branching-4x4,17,20000,340000,GPU,3,0.002673329007
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,CPU,3,0.09862968271
inf02_A40,NVIDIA A40,linear-chain,16,30000,480000,GPU,3,0.003123839335
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,CPU,3,0.1052849163
inf02_A40,NVIDIA A40,branching-4x4,17,30000,510000,GPU,3,0.003254545819
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,CPU,3,0.1329727346
inf02_A40,NVIDIA A40,linear-chain,16,40000,640000,GPU,3,0.003783360665
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,CPU,3,0.138146886
inf02_A40,NVIDIA A40,branching-4x4,17,40000,680000,GPU,3,0.003905846856
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,CPU,3,0.1625461925
inf02_A40,NVIDIA A40,linear-chain,16,50000,800000,GPU,3,0.004373831099
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,CPU,3,0.1709284522
inf02_A40,NVIDIA A40,branching-4x4,17,50000,850000,GPU,3,0.004559546167
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,CPU,4,0.0001033989801
inf02_A40,NVIDIA A40,linear-chain,16,100,1600,GPU,4,0.0006807195289
inf02_A40,NVIDIA A40,branching-4x4,17,100,1700,CPU,4,0.000109727725
